run_id,crest_factor_threshold,lat_threshold,window_ms,min_decay,eps,global_precision,global_recall,global_f1
run_001,3.0,0.3,125,0.0,0.06,0.402,0.624,0.489
run_002,3.0,0.3,125,0.0,0.12,0.342,0.675,0.454
run_003,3.0,0.3,125,0.0,0.18,0.326,0.699,0.444
run_004,3.0,0.3,125,0.15,0.06,0.402,0.624,0.489
run_005,3.0,0.3,125,0.15,0.12,0.343,0.675,0.455
run_006,3.0,0.3,125,0.15,0.18,0.326,0.699,0.445
run_007,3.0,0.5,125,0.0,0.06,0.402,0.624,0.489
run_008,3.0,0.5,125,0.0,0.12,0.342,0.675,0.454
run_009,3.0,0.5,125,0.0,0.18,0.326,0.699,0.444
run_010,3.0,0.5,125,0.15,0.06,0.402,0.624,0.489
run_011,3.0,0.5,125,0.15,0.12,0.343,0.675,0.455
run_012,3.0,0.5,125,0.15,0.18,0.326,0.699,0.445
