run_id,crest_factor_threshold,lat_threshold,window_ms,min_decay,eps,gatekeeper_accuracy,gatekeeper_specificity,gatekeeper_precision,gatekeeper_recall,gatekeeper_f1,tracker_precision,tracker_recall,tracker_f1
run_001,3.0,0.15,125,0.0,0.08,0.614,0.371,0.619,0.805,0.7,0.794,0.758,0.776
run_002,3.0,0.15,125,0.0,0.12,0.619,0.333,0.616,0.843,0.712,0.773,0.799,0.786
run_003,3.0,0.15,125,0.0,0.15,0.609,0.294,0.606,0.857,0.71,0.766,0.82,0.792
run_004,3.0,0.15,125,0.15,0.08,0.613,0.373,0.619,0.802,0.698,0.797,0.757,0.776
run_005,3.0,0.15,125,0.15,0.12,0.618,0.336,0.616,0.84,0.711,0.777,0.798,0.787
run_006,3.0,0.15,125,0.15,0.15,0.608,0.296,0.606,0.854,0.709,0.77,0.819,0.793
run_007,3.0,0.3,125,0.0,0.08,0.614,0.371,0.619,0.805,0.7,0.794,0.758,0.776
run_008,3.0,0.3,125,0.0,0.12,0.619,0.333,0.616,0.843,0.712,0.773,0.799,0.786
run_009,3.0,0.3,125,0.0,0.15,0.609,0.294,0.606,0.857,0.71,0.766,0.82,0.792
run_010,3.0,0.3,125,0.15,0.08,0.613,0.373,0.619,0.802,0.698,0.797,0.757,0.776
run_011,3.0,0.3,125,0.15,0.12,0.618,0.336,0.616,0.84,0.711,0.777,0.798,0.787
run_012,3.0,0.3,125,0.15,0.15,0.608,0.296,0.606,0.854,0.709,0.77,0.819,0.793
run_013,5.0,0.15,125,0.0,0.08,0.636,0.753,0.736,0.544,0.626,0.849,0.506,0.634
run_014,5.0,0.15,125,0.0,0.12,0.636,0.715,0.719,0.574,0.638,0.831,0.538,0.653
run_015,5.0,0.15,125,0.0,0.15,0.629,0.689,0.704,0.583,0.637,0.82,0.553,0.66
run_016,5.0,0.15,125,0.15,0.08,0.637,0.757,0.739,0.543,0.626,0.851,0.505,0.634
run_017,5.0,0.15,125,0.15,0.12,0.637,0.72,0.721,0.572,0.638,0.832,0.537,0.653
run_018,5.0,0.15,125,0.15,0.15,0.63,0.693,0.706,0.581,0.637,0.821,0.552,0.66
run_019,5.0,0.3,125,0.0,0.08,0.636,0.753,0.736,0.544,0.626,0.849,0.506,0.634
run_020,5.0,0.3,125,0.0,0.12,0.636,0.715,0.719,0.574,0.638,0.831,0.538,0.653
run_021,5.0,0.3,125,0.0,0.15,0.629,0.689,0.704,0.583,0.637,0.82,0.553,0.66
run_022,5.0,0.3,125,0.15,0.08,0.637,0.757,0.739,0.543,0.626,0.851,0.505,0.634
run_023,5.0,0.3,125,0.15,0.12,0.637,0.72,0.721,0.572,0.638,0.832,0.537,0.653
run_024,5.0,0.3,125,0.15,0.15,0.63,0.693,0.706,0.581,0.637,0.821,0.552,0.66
