run_id,crest_factor_threshold,lat_threshold,min_decay,eps,window_ms,gatekeeper_accuracy,gatekeeper_specificity,gatekeeper_precision,gatekeeper_recall,gatekeeper_f1,tracker_precision,tracker_recall,tracker_f1
run_001,2.5,0.1,0.1,0.12,125,0.653,0.426,0.648,0.831,0.728,0.784,0.799,0.791
run_002,2.5,0.1,0.1,0.15,125,0.651,0.353,0.635,0.885,0.739,0.759,0.87,0.811
run_003,2.5,0.1,0.1,0.18,125,0.64,0.289,0.621,0.917,0.74,0.741,0.901,0.813
run_004,2.5,0.1,0.1,0.22,125,0.621,0.219,0.604,0.937,0.734,0.73,0.928,0.818
run_005,2.5,0.1,0.1,0.25,125,0.616,0.183,0.598,0.957,0.736,0.726,0.94,0.819
run_006,2.5,0.1,0.15,0.12,125,0.655,0.433,0.65,0.83,0.729,0.787,0.797,0.792
run_007,2.5,0.1,0.15,0.15,125,0.654,0.362,0.637,0.883,0.741,0.762,0.87,0.812
run_008,2.5,0.1,0.15,0.18,125,0.643,0.298,0.623,0.915,0.741,0.744,0.9,0.815
run_009,2.5,0.1,0.15,0.22,125,0.625,0.227,0.606,0.937,0.736,0.733,0.928,0.819
run_010,2.5,0.1,0.15,0.25,125,0.619,0.19,0.6,0.957,0.737,0.728,0.94,0.821
run_011,2.5,0.15,0.1,0.12,125,0.653,0.426,0.648,0.831,0.728,0.784,0.799,0.791
run_012,2.5,0.15,0.1,0.15,125,0.651,0.353,0.635,0.885,0.739,0.759,0.87,0.811
run_013,2.5,0.15,0.1,0.18,125,0.64,0.289,0.621,0.917,0.74,0.741,0.901,0.813
run_014,2.5,0.15,0.1,0.22,125,0.621,0.219,0.604,0.937,0.734,0.73,0.928,0.818
run_015,2.5,0.15,0.1,0.25,125,0.616,0.183,0.598,0.957,0.736,0.726,0.94,0.819
run_016,2.5,0.15,0.15,0.12,125,0.655,0.433,0.65,0.83,0.729,0.787,0.797,0.792
run_017,2.5,0.15,0.15,0.15,125,0.654,0.362,0.637,0.883,0.741,0.762,0.87,0.812
run_018,2.5,0.15,0.15,0.18,125,0.643,0.298,0.623,0.915,0.741,0.744,0.9,0.815
run_019,2.5,0.15,0.15,0.22,125,0.625,0.227,0.606,0.937,0.736,0.733,0.928,0.819
run_020,2.5,0.15,0.15,0.25,125,0.619,0.19,0.6,0.957,0.737,0.728,0.94,0.821
run_021,2.5,0.2,0.1,0.12,125,0.653,0.426,0.648,0.831,0.728,0.784,0.799,0.791
run_022,2.5,0.2,0.1,0.15,125,0.651,0.353,0.635,0.885,0.739,0.759,0.87,0.811
run_023,2.5,0.2,0.1,0.18,125,0.64,0.289,0.621,0.917,0.74,0.741,0.901,0.813
run_024,2.5,0.2,0.1,0.22,125,0.621,0.219,0.604,0.937,0.734,0.73,0.928,0.818
run_025,2.5,0.2,0.1,0.25,125,0.616,0.183,0.598,0.957,0.736,0.726,0.94,0.819
run_026,2.5,0.2,0.15,0.12,125,0.655,0.433,0.65,0.83,0.729,0.787,0.797,0.792
run_027,2.5,0.2,0.15,0.15,125,0.654,0.362,0.637,0.883,0.741,0.762,0.87,0.812
run_028,2.5,0.2,0.15,0.18,125,0.643,0.298,0.623,0.915,0.741,0.744,0.9,0.815
run_029,2.5,0.2,0.15,0.22,125,0.625,0.227,0.606,0.937,0.736,0.733,0.928,0.819
run_030,2.5,0.2,0.15,0.25,125,0.619,0.19,0.6,0.957,0.737,0.728,0.94,0.821
run_031,3.5,0.1,0.1,0.12,125,0.673,0.543,0.683,0.776,0.726,0.813,0.753,0.782
run_032,3.5,0.1,0.1,0.15,125,0.677,0.475,0.669,0.837,0.743,0.786,0.818,0.802
run_033,3.5,0.1,0.1,0.18,125,0.664,0.404,0.649,0.87,0.743,0.767,0.85,0.806
run_034,3.5,0.1,0.1,0.22,125,0.65,0.342,0.633,0.892,0.74,0.754,0.876,0.81
run_035,3.5,0.1,0.1,0.25,125,0.642,0.305,0.624,0.908,0.739,0.75,0.885,0.812
run_036,3.5,0.1,0.15,0.12,125,0.676,0.55,0.686,0.776,0.728,0.815,0.752,0.783
run_037,3.5,0.1,0.15,0.15,125,0.681,0.483,0.673,0.837,0.746,0.788,0.818,0.803
